,municipio,codigo_municipio,estado,ano,campo,Receitas_realizadas_Bimestre,população,Produto_interno_bruto
0,Abaiara,2300101,Ceará,2013,,337579.0,11089,50467.726
1,Abaiara,2300101,Ceará,2013,Imposto Predial e Territorial Urbano - IPTU,1865.0,11089,50467.726
2,Abaiara,2300101,Ceará,2013,Imposto sobre Transmissão de Bens Intervivos - ITBI,5831.0,11089,50467.726
3,Abaiara,2300101,Ceará,2013,Imposto sobre Serviços de Qualquer Natureza - ISS,125792.0,11089,50467.726
4,Abaiara,2300101,Ceará,2013,Imposto de Renda Retido na Fonte - IRRF,204092.0,11089,50467.726
5,Abaiara,2300101,Ceará,2013,Imposto Territorial Rural - ITR,0.0,11089,50467.726
6,Abaiara,2300101,Ceará,2013,"Multas, Juros de Mora e Outros Encargos dos Impostos",0.0,11089,50467.726
7,Abaiara,2300101,Ceará,2013,Dívida Ativa dos Impostos,0.0,11089,50467.726
8,Abaiara,2300101,Ceará,2013,"Multas, Juros de Mora e Outros Encargos da Dívida Ativa",0.0,11089,50467.726
9,Abaiara,2300101,Ceará,2013,RECEITA DE TRANSFERÊNCIAS CONSTITUCIONAIS E LEGAIS (II),14283900.0,11089,50467.726
10,Abaiara,2300101,Ceará,2013,Cota-Parte FPM,8934200.0,11089,50467.726
11,Abaiara,2300101,Ceará,2013,Cota-Parte ITR,1268.0,11089,50467.726
12,Abaiara,2300101,Ceará,2013,Cota-Parte IPVA,89839.0,11089,50467.726
13,Abaiara,2300101,Ceará,2013,Cota-Parte ICMS,5138390.0,11089,50467.726
14,Abaiara,2300101,Ceará,2013,Cota-Parte IPI-Exportação,100000.0,11089,50467.726
15,Abaiara,2300101,Ceará,2013,Compensações Financeiras Provenientes de Impostos e Transferências Constitucionais,20204.0,11089,50467.726
16,Abaiara,2300101,Ceará,2013,    Desoneração ICMS (LC 87/96),20204.0,11089,50467.726
17,Abaiara,2300101,Ceará,2013,    Outras,0.0,11089,50467.726
18,Abaiara,2300101,Ceará,2013,TOTAL DAS RECEITAS PARA APURAÇÃO DA APLICAÇÃO EM AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE (III) = I + II,14621500.0,11089,50467.726
19,Acarape,2300150,Ceará,2013,RECEITA DE IMPOSTOS LÍQUIDA (I),729994.0,16011,102164.287
20,Acarape,2300150,Ceará,2013,Imposto Predial e Territorial Urbano - IPTU,44.0,16011,102164.287
21,Acarape,2300150,Ceará,2013,Imposto sobre Transmissão de Bens Intervivos - ITBI,10940.0,16011,102164.287
22,Acarape,2300150,Ceará,2013,Imposto sobre Serviços de Qualquer Natureza - ISS,312476.0,16011,102164.287
23,Acarape,2300150,Ceará,2013,Imposto de Renda Retido na Fonte - IRRF,364555.0,16011,102164.287
24,Acarape,2300150,Ceará,2013,Imposto Territorial Rural - ITR,0.0,16011,102164.287
25,Acarape,2300150,Ceará,2013,"Multas, Juros de Mora e Outros Encargos dos Impostos",250.0,16011,102164.287
26,Acarape,2300150,Ceará,2013,Dívida Ativa dos Impostos,41370.0,16011,102164.287
27,Acarape,2300150,Ceará,2013,"Multas, Juros de Mora e Outros Encargos da Dívida Ativa",359.0,16011,102164.287
28,Acarape,2300150,Ceará,2013,RECEITA DE TRANSFERÊNCIAS CONSTITUCIONAIS E LEGAIS (II),14494200.0,16011,102164.287
29,Acarape,2300150,Ceará,2013,Cota-Parte FPM,11048100.0,16011,102164.287
30,Acarape,2300150,Ceará,2013,Cota-Parte ITR,2739.0,16011,102164.287
31,Acarape,2300150,Ceará,2013,Cota-Parte IPVA,161476.0,16011,102164.287
32,Acarape,2300150,Ceará,2013,Cota-Parte ICMS,3258700.0,16011,102164.287
33,Acarape,2300150,Ceará,2013,Cota-Parte IPI-Exportação,10797.0,16011,102164.287
34,Acarape,2300150,Ceará,2013,Compensações Financeiras Provenientes de Impostos e Transferências Constitucionais,12467.0,16011,102164.287
35,Acarape,2300150,Ceará,2013,    Desoneração ICMS (LC 87/96),12467.0,16011,102164.287
36,Acarape,2300150,Ceará,2013,    Outras,0.0,16011,102164.287
37,Acarape,2300150,Ceará,2013,TOTAL DAS RECEITAS PARA APURAÇÃO DA APLICAÇÃO EM AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE (III) = I + II,15224200.0,16011,102164.287
38,Acaraú,2300200,Ceará,2013,RECEITA DE IMPOSTOS LÍQUIDA (I),5670600.0,60137,467824.0
39,Acaraú,2300200,Ceará,2013,Imposto Predial e Territorial Urbano - IPTU,165887.0,60137,467824.0
40,Acaraú,2300200,Ceará,2013,Imposto sobre Transmissão de Bens Intervivos - ITBI,93849.0,60137,467824.0
41,Acaraú,2300200,Ceará,2013,Imposto sobre Serviços de Qualquer Natureza - ISS,4242240.0,60137,467824.0
42,Acaraú,2300200,Ceará,2013,Imposto de Renda Retido na Fonte - IRRF,1148120.0,60137,467824.0
43,Acaraú,2300200,Ceará,2013,Imposto Territorial Rural - ITR,0.0,60137,467824.0
44,Acaraú,2300200,Ceará,2013,"Multas, Juros de Mora e Outros Encargos dos Impostos",0.0,60137,467824.0
45,Acaraú,2300200,Ceará,2013,Dívida Ativa dos Impostos,20511.0,60137,467824.0
46,Acaraú,2300200,Ceará,2013,"Multas, Juros de Mora e Outros Encargos da Dívida Ativa",0.0,60137,467824.0
47,Acaraú,2300200,Ceará,2013,RECEITA DE TRANSFERÊNCIAS CONSTITUCIONAIS E LEGAIS (II),32448500.0,60137,467824.0
48,Acaraú,2300200,Ceará,2013,Cota-Parte FPM,23439500.0,60137,467824.0
49,Acaraú,2300200,Ceará,2013,Cota-Parte ITR,29908.0,60137,467824.0
50,Acaraú,2300200,Ceará,2013,Cota-Parte IPVA,780407.0,60137,467824.0
51,Acaraú,2300200,Ceará,2013,Cota-Parte ICMS,8136710.0,60137,467824.0
52,Acaraú,2300200,Ceará,2013,Cota-Parte IPI-Exportação,29908.0,60137,467824.0
53,Acaraú,2300200,Ceará,2013,Compensações Financeiras Provenientes de Impostos e Transferências Constitucionais,32077.0,60137,467824.0
54,Acaraú,2300200,Ceará,2013,    Desoneração ICMS (LC 87/96),32077.0,60137,467824.0
55,Acaraú,2300200,Ceará,2013,    Outras,0.0,60137,467824.0
56,Acaraú,2300200,Ceará,2013,TOTAL DAS RECEITAS PARA APURAÇÃO DA APLICAÇÃO EM AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE (III) = I + II,38119200.0,60137,467824.0
57,Acopiara,2300309,Ceará,2013,RECEITA DE IMPOSTOS LÍQUIDA (I),2518710.0,52661,287936.777
58,Acopiara,2300309,Ceará,2013,Imposto Predial e Territorial Urbano - IPTU,174066.0,52661,287936.777
59,Acopiara,2300309,Ceará,2013,Imposto sobre Transmissão de Bens Intervivos - ITBI,93406.0,52661,287936.777
60,Acopiara,2300309,Ceará,2013,Imposto sobre Serviços de Qualquer Natureza - ISS,995926.0,52661,287936.777
61,Acopiara,2300309,Ceará,2013,Imposto de Renda Retido na Fonte - IRRF,1104670.0,52661,287936.777
62,Acopiara,2300309,Ceará,2013,Imposto Territorial Rural - ITR,0.0,52661,287936.777
63,Acopiara,2300309,Ceará,2013,"Multas, Juros de Mora e Outros Encargos dos Impostos",0.0,52661,287936.777
64,Acopiara,2300309,Ceará,2013,Dívida Ativa dos Impostos,149250.0,52661,287936.777
65,Acopiara,2300309,Ceará,2013,"Multas, Juros de Mora e Outros Encargos da Dívida Ativa",1393.0,52661,287936.777
66,Acopiara,2300309,Ceará,2013,RECEITA DE TRANSFERÊNCIAS CONSTITUCIONAIS E LEGAIS (II),29001800.0,52661,287936.777
67,Acopiara,2300309,Ceará,2013,Cota-Parte FPM,24062700.0,52661,287936.777
68,Acopiara,2300309,Ceará,2013,Cota-Parte ITR,14222.0,52661,287936.777
69,Acopiara,2300309,Ceará,2013,Cota-Parte IPVA,650090.0,52661,287936.777
70,Acopiara,2300309,Ceará,2013,Cota-Parte ICMS,4244460.0,52661,287936.777
71,Acopiara,2300309,Ceará,2013,Cota-Parte IPI-Exportação,14538.0,52661,287936.777
72,Acopiara,2300309,Ceará,2013,Compensações Financeiras Provenientes de Impostos e Transferências Constitucionais,15807.0,52661,287936.777
73,Acopiara,2300309,Ceará,2013,    Desoneração ICMS (LC 87/96),15807.0,52661,287936.777
74,Acopiara,2300309,Ceará,2013,    Outras,0.0,52661,287936.777
75,Acopiara,2300309,Ceará,2013,TOTAL DAS RECEITAS PARA APURAÇÃO DA APLICAÇÃO EM AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE (III) = I + II,31520500.0,52661,287936.777
76,Aiuaba,2300408,Ceará,2013,RECEITA DE IMPOSTOS LÍQUIDA (I),1214200.0,16784,78557.345
77,Aiuaba,2300408,Ceará,2013,Imposto Predial e Territorial Urbano - IPTU,8388.0,16784,78557.345
78,Aiuaba,2300408,Ceará,2013,Imposto sobre Transmissão de Bens Intervivos - ITBI,17933.0,16784,78557.345
79,Aiuaba,2300408,Ceará,2013,Imposto sobre Serviços de Qualquer Natureza - ISS,641090.0,16784,78557.345
80,Aiuaba,2300408,Ceará,2013,Imposto de Renda Retido na Fonte - IRRF,546794.0,16784,78557.345
81,Aiuaba,2300408,Ceará,2013,Imposto Territorial Rural - ITR,0.0,16784,78557.345
82,Aiuaba,2300408,Ceará,2013,"Multas, Juros de Mora e Outros Encargos dos Impostos",0.0,16784,78557.345
83,Aiuaba,2300408,Ceará,2013,Dívida Ativa dos Impostos,0.0,16784,78557.345
84,Aiuaba,2300408,Ceará,2013,"Multas, Juros de Mora e Outros Encargos da Dívida Ativa",0.0,16784,78557.345
85,Aiuaba,2300408,Ceará,2013,RECEITA DE TRANSFERÊNCIAS CONSTITUCIONAIS E LEGAIS (II),13750200.0,16784,78557.345
86,Aiuaba,2300408,Ceará,2013,Cota-Parte FPM,11048100.0,16784,78557.345
87,Aiuaba,2300408,Ceará,2013,Cota-Parte ITR,7701.0,16784,78557.345
88,Aiuaba,2300408,Ceará,2013,Cota-Parte IPVA,88118.0,16784,78557.345
89,Aiuaba,2300408,Ceará,2013,Cota-Parte ICMS,2587230.0,16784,78557.345
